iter	Passed	Remaining
0	145	144858
1	145	72621
2	146	48541
3	146	36492
4	147	29265
5	147	24444
6	148	21021
7	148	18451
8	149	16459
9	150	14861
10	150	13561
11	151	12474
12	152	11553
13	152	10767
14	153	10085
15	154	9486
16	154	8959
17	155	8491
18	156	8083
19	157	7708
20	158	7369
21	158	7057
22	159	6774
23	160	6516
24	160	6278
25	161	6057
26	162	5854
27	163	5665
28	163	5490
29	164	5328
30	165	5175
31	166	5030
32	167	4896
33	167	4769
34	168	4648
35	169	4534
36	170	4429
37	170	4327
38	171	4231
39	172	4140
40	173	4054
41	174	3971
42	174	3892
43	175	3817
44	176	3744
45	177	3676
46	178	3609
47	178	3546
48	179	3484
49	180	3425
50	181	3369
51	181	3314
52	182	3262
53	183	3213
54	184	3164
55	184	3118
56	185	3073
57	186	3029
58	187	2987
59	188	2947
60	188	2907
61	189	2868
62	190	2830
63	191	2793
64	191	2757
65	192	2722
66	193	2688
67	193	2651
68	194	2619
69	194	2588
70	195	2557
71	196	2528
72	196	2499
73	197	2471
74	198	2444
75	198	2418
76	199	2392
77	200	2367
78	200	2342
79	201	2318
80	202	2294
81	202	2271
82	203	2249
83	204	2227
84	204	2203
85	205	2183
86	205	2160
87	206	2141
88	207	2121
89	207	2102
90	208	2084
91	209	2065
92	209	2048
93	210	2030
94	211	2013
95	212	1996
96	212	1980
97	213	1963
98	214	1948
99	214	1932
100	215	1917
101	215	1900
102	216	1885
103	217	1871
104	217	1857
105	218	1843
106	219	1829
107	219	1816
108	220	1803
109	221	1790
110	221	1777
111	222	1765
112	223	1752
113	223	1740
114	224	1729
115	225	1716
116	225	1705
117	226	1693
118	227	1681
119	227	1670
120	228	1659
121	229	1649
122	229	1636
123	230	1626
124	230	1615
125	231	1606
126	232	1596
127	232	1585
128	233	1575
129	234	1566
130	234	1556
131	235	1547
132	236	1538
133	236	1529
134	237	1521
135	238	1512
136	238	1504
137	239	1496
138	240	1488
139	241	1480
140	241	1472
141	242	1465
142	243	1457
143	243	1449
144	244	1442
145	245	1434
146	245	1427
147	246	1419
148	247	1412
149	247	1405
150	248	1398
151	249	1391
152	250	1384
153	250	1377
154	251	1370
155	252	1363
156	252	1357
157	253	1350
158	254	1344
159	254	1337
160	255	1331
161	256	1325
162	256	1319
163	257	1313
164	258	1307
165	258	1301
166	259	1295
167	260	1289
168	261	1283
169	261	1277
170	262	1271
171	263	1266
172	263	1260
173	264	1254
174	264	1249
175	265	1243
176	266	1238
177	267	1233
178	267	1227
179	268	1222
180	268	1216
181	269	1211
182	270	1206
183	270	1201
184	271	1196
185	272	1191
186	272	1186
187	273	1181
188	274	1176
189	274	1171
190	275	1166
191	276	1162
192	276	1157
193	277	1152
194	278	1148
195	278	1143
196	279	1139
197	280	1134
198	280	1130
199	281	1125
200	282	1121
201	282	1117
202	283	1113
203	284	1109
204	284	1104
205	285	1100
206	286	1096
207	286	1092
208	287	1088
209	288	1084
210	288	1080
211	289	1076
212	290	1072
213	290	1068
214	291	1064
215	292	1060
216	292	1057
217	293	1053
218	294	1049
219	294	1045
220	295	1042
221	296	1038
222	297	1034
223	297	1031
224	298	1027
225	299	1024
226	299	1020
227	300	1017
228	301	1013
229	301	1010
230	302	1006
231	303	1003
232	303	999
233	304	996
234	305	993
235	305	989
236	306	986
237	307	983
238	307	979
239	308	976
240	308	973
241	309	969
242	310	966
243	310	963
244	311	960
245	312	957
246	312	954
247	313	951
248	314	947
249	314	944
250	315	941
251	316	938
252	316	935
253	317	932
254	318	929
255	318	926
256	319	923
257	320	920
258	320	917
259	321	914
260	322	912
261	322	909
262	323	907
263	324	905
264	325	902
265	326	899
266	326	896
267	327	894
268	327	891
269	328	888
270	329	885
271	329	883
272	330	880
273	331	877
274	331	874
275	332	872
276	333	869
277	333	867
278	334	864
279	335	861
280	335	859
281	336	857
282	337	854
283	337	852
284	338	849
285	339	847
286	339	844
287	340	842
288	341	839
289	341	837
290	342	834
291	343	832
292	343	829
293	344	827
294	345	824
295	345	822
296	346	820
297	347	817
298	347	815
299	348	812
300	349	810
301	349	808
302	350	805
303	351	803
304	351	801
305	352	799
306	353	797
307	353	795
308	354	792
309	355	790
310	355	788
311	356	786
312	357	783
313	357	781
314	358	779
315	359	777
316	359	775
317	360	772
318	361	770
319	361	768
320	362	766
321	362	764
322	363	762
323	364	760
324	364	757
325	365	755
326	366	755
327	367	753
328	368	751
329	369	749
330	369	747
331	370	745
332	371	743
333	371	741
334	372	740
335	373	738
336	374	736
337	375	735
338	376	733
339	376	731
340	377	729
341	378	727
342	378	725
343	379	723
344	380	722
345	381	720
346	382	718
347	382	717
348	383	715
349	383	713
350	384	711
351	385	709
352	385	707
353	386	705
354	387	703
355	387	701
356	388	699
357	389	697
358	389	696
359	390	694
360	391	692
361	391	690
362	392	688
363	393	686
364	393	685
365	394	683
366	395	681
367	395	679
368	396	677
369	397	676
370	397	674
371	398	672
372	399	670
373	399	669
374	400	667
375	401	665
376	401	663
377	402	662
378	403	660
379	403	658
380	404	656
381	404	655
382	405	653
383	406	651
384	406	650
385	407	648
386	408	646
387	409	645
388	409	643
389	410	641
390	411	640
391	411	638
392	412	636
393	413	635
394	413	633
395	414	632
396	415	630
397	415	628
398	416	627
399	417	625
400	417	624
401	418	622
402	419	620
403	419	619
404	420	617
405	421	616
406	421	614
407	422	612
408	423	611
409	423	609
410	424	607
411	424	606
412	425	604
413	426	603
414	426	601
415	427	600
416	428	598
417	428	597
418	429	595
419	430	593
420	430	592
421	431	590
422	432	589
423	432	587
424	433	586
425	433	584
426	434	583
427	435	581
428	435	580
429	436	578
430	437	577
431	438	576
432	438	574
433	439	573
434	440	571
435	440	570
436	441	568
437	442	567
438	442	566
439	443	564
440	444	563
441	444	561
442	445	560
443	446	558
444	446	557
445	447	556
446	448	554
447	448	553
448	449	551
449	450	550
450	450	548
451	451	547
452	452	546
453	452	544
454	453	543
455	454	541
456	454	540
457	455	538
458	456	537
459	456	536
460	457	534
461	458	533
462	458	531
463	459	530
464	459	529
465	460	527
466	461	526
467	462	525
468	462	524
469	463	522
470	464	521
471	464	520
472	465	518
473	466	517
474	466	515
475	467	514
476	468	513
477	468	511
478	469	510
479	470	509
480	470	507
481	471	506
482	471	505
483	472	503
484	473	502
485	473	501
486	474	499
487	475	498
488	475	497
489	476	496
490	477	494
491	477	493
492	478	492
493	479	490
494	479	489
495	480	488
496	481	486
497	481	485
498	482	484
499	483	483
500	483	481
501	484	480
502	484	479
503	485	477
504	486	476
505	486	475
506	487	474
507	488	472
508	488	471
509	489	470
510	490	469
511	491	468
512	491	466
513	492	465
514	493	464
515	493	463
516	494	462
517	495	460
518	495	459
519	496	458
520	497	457
521	497	455
522	498	454
523	499	453
524	499	452
525	500	451
526	501	449
527	501	448
528	502	447
529	503	446
530	503	445
531	504	444
532	505	443
533	506	442
534	507	441
535	508	440
536	509	439
537	510	438
538	512	437
539	512	436
540	513	435
541	514	434
542	515	433
543	516	432
544	516	431
545	517	430
546	518	429
547	518	428
548	519	426
549	520	425
550	521	424
551	522	423
552	522	422
553	523	421
554	524	420
555	525	419
556	525	418
557	526	417
558	527	415
559	528	414
560	528	413
561	529	412
562	530	411
563	530	410
564	531	409
565	532	408
566	533	407
567	534	406
568	534	405
569	535	404
570	536	403
571	537	401
572	537	400
573	538	399
574	539	398
575	540	397
576	540	396
577	541	395
578	542	394
579	542	393
580	543	392
581	544	390
582	544	389
583	545	388
584	546	387
585	547	386
586	548	385
587	548	384
588	549	383
589	550	382
590	551	381
591	552	380
592	552	379
593	553	378
594	554	377
595	555	376
596	555	375
597	556	374
598	557	373
599	558	372
600	558	371
601	559	369
602	560	368
603	561	367
604	561	366
605	562	365
606	563	364
607	564	363
608	564	362
609	565	361
610	566	360
611	567	359
612	567	358
613	568	357
614	569	356
615	570	355
616	570	354
617	571	353
618	572	352
619	572	351
620	573	349
621	574	348
622	574	347
623	575	346
624	576	345
625	576	344
626	577	343
627	578	342
628	578	341
629	579	340
630	579	339
631	580	338
632	581	337
633	582	336
634	582	335
635	583	334
636	584	332
637	585	331
638	585	330
639	586	329
640	587	328
641	587	327
642	588	326
643	589	325
644	589	324
645	590	323
646	591	322
647	591	321
648	592	320
649	593	319
650	593	318
651	594	317
652	595	316
653	595	315
654	596	314
655	597	313
656	598	312
657	598	311
658	599	310
659	599	309
660	600	308
661	601	307
662	601	305
663	602	304
664	603	303
665	604	302
666	604	301
667	605	300
668	606	299
669	606	298
670	607	297
671	608	296
672	608	295
673	609	294
674	610	293
675	610	292
676	611	291
677	612	290
678	613	289
679	613	288
680	614	287
681	615	286
682	615	285
683	616	284
684	616	283
685	617	282
686	618	281
687	618	280
688	619	279
689	620	278
690	620	277
691	621	276
692	622	275
693	623	274
694	623	273
695	624	272
